"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","0.885622741347915","1.08710978987698","1.1815893623532","1.15488563690312","1.07138076649986","0.806774323925478","0.880423401658738","1.22538905735576","1.22909320951071","1.17168950552228","1.14963814727398","1.0262721807817","1.09851200050164","1.06469235412646","0.942062982494531","0.92334508855244","1.1250156927551","0.953646898432175","0.910853457449323","0.869510344447776","0.844913904138435","0.857783725095264","0.920597806578225","0.611797492733632","1.72721346943522","1.59943878932898","1.10485548902811","1.09664520992722","1.30809389705165","1.32701281668819","1.29648642995973","1.61280529266483","1.06967122871915","2.15546730316657","2.27352123387527","2.40852894812647","2.55066536266631","2.40864227395185","2.39593178917843","2.38806416154211","2.4007804161349","2.40822980770812","2.34894671396635","2.3692337302416","","","","","",
"Albania","ALB","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","2.53387087572723","2.90658069779407","3.02061204789841","2.37987384802943","2.3104526620673","2.26003363720033","2.46379264676431","2.50353870096387","3.35363379950485","1.68333845017364","2.7224257077855","2.71532241135569","2.68291256886124","2.64596768930773","2.90000581444986","2.76510124931356","2.61859098606492","2.51319030557904","3.10478115874415","2.06344285522406","2.29094656891615","1.85213883446609","1.75515848714934","1.36023720380436","1.56950227054416","1.42151818438117","1.27501686883111","1.31308647154447","1.66642083889982","1.68507063492241","1.76354504345542","1.86280503701188","2.17952190228014","1.92365791802046","1.96293618099334","1.84276583574039","1.94500547493786","2.0883774529203","2.04228612635742","2.16493741649176","2.35789375638673","2.46099364717381","2.18288487036644","2.44758367145279","","","","","",
"Andorra","AND","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","4.9140907902111","5.14682791510627","5.46125372677141","5.00036381820299","4.57570484906417","4.99104000599939","4.80015594134714","4.5099880539682","4.04432043037472","4.02268704844477","3.42365638217642","2.94130042616874","2.90811829092093","3.10154209819083","3.10570111949267","3.28067109102205","3.0230611122096","2.95180837140156","2.8541211193506","2.90305924546711","3.0914293059617","3.0055538272708","3.10509363665304","3.01129621899135","2.82456919829141","2.70044305409332","2.51493779874979","2.6998570116274","2.7137441936043","3.01829717534716","2.79501793332746","2.72080737021776","2.88450654966141","2.97414691492343","2.94628096608691","2.88880994161821","2.72089909065726","2.78055935507212","2.80046596853899","2.75049850095377","2.75778908213749","2.76933128376253","2.74028786471432","2.80536337070556","","","","","",
"United Arab Emirates","ARE","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","20.933889679434","22.3137222816304","23.4727970916537","23.3576108822113","16.037284678209","16.1127895688372","9.44300045333189","9.39446106231032","6.57317019960479","5.10291337957728","4.1547623167504","3.81423871863987","3.79445233914249","3.8414447677189","3.63962594952396","3.03091824104868","2.75682251839452","2.72574874258584","2.65966122970291","2.54645957634197","2.4272452066985","2.6003831561408","2.80605355171959","2.80693091918251","2.55162723149711","1.40470705544801","1.34877150766386","2.58097776810499","2.43082032829359","3.57088847120784","2.52261852217855","2.12421792314695","2.72341620425539","2.70569789487643","2.61020154938903","2.68140014388548","2.70498059273104","2.65269366824137","2.8015143391889","2.6067843534211","2.57150508934281","2.57912315960807","2.44045067872737","2.99926869167283","","","","","",
"Argentina","ARG","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","2.6432196825637","2.63647530285868","2.64314532489828","2.63243896278394","2.64178335334657","2.68288883037829","2.63969906049115","2.63697496712367","2.6935370986026","2.60070492793022","2.49920839238775","2.51816872980623","2.51564631904263","2.45896794091645","2.43287367814712","2.37575335081332","2.48413056846231","2.53880721601774","2.51768751567897","2.43464135442366","2.46603765443204","2.43011125998589","2.35466260104332","2.29758877310486","2.36774818828274","2.40905458200842","2.38624288022627","2.33761660318428","2.41609403254973","2.30903276024983","2.28363154477058","2.19138896685142","2.21798318846116","2.36896756451759","2.42238171924336","2.40965225000471","2.37530397198009","2.43503481413704","2.38315498705916","2.38879948078696","2.37922725607641","2.37978698451439","2.28698038578705","2.3555120987637","","","","","",
"Armenia","ARM","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.41065879823183","1.16572833078073","1.96310481852724","2.07361705051444","1.43916959097162","1.73715207077741","1.7732753533616","1.64403407324504","1.72010076441974","1.76608791247143","1.62206655588586","1.73057519696227","1.74005933868161","1.73256185149273","1.7126874567633","1.77511404401079","1.85054737424473","1.67054142384778","1.69823143595706","1.810835523176","1.9170754795423","1.89522373249399","1.86898405029981","","","","","",
"American Samoa","ASM","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
